['i m .', 'ik ben jaar .']
['you re a very attractive woman .', 'jij bent een zeer aantrekkelijke vrouw .']
['you re in a strange mood today .', 'je hebt vandaag een vreemd humeur .']
['you re not even a student here .', 'je bent niet eens student hier .']
['he is afraid of making mistakes .', 'hij is bang fouten te maken .']
['he is married with two children .', 'hij is getrouwd en heeft twee kinderen .']
['he is my brother not my father .', 'hij is mijn broer niet mijn vader .']
['he is proud of being a musician .', 'hij is fier muzikant te zijn .']
['he is what is called a bookworm .', 'hij is wat je noemt een boekenwurm .']
['he s a very promising young man .', 'het is een zeer beloftevolle jonge man .']
['he s three years older than her .', 'hij is drie jaar ouder dan zij .']
['i am afraid i must be going now .', 'het spijt me maar nu moet ik weg .']
['i am five feet two inches tall .', 'ik ben vijf voet en twee duim hoog .']
['i am going to spain in the fall .', 'ik ga in de herfst naar spanje .']
['i am going to my friend s house .', 'ik ga bij mijn vriend .']
['i am listening to country music .', 'ik luister countrymuziek .']
['i am relieved that you are safe .', 'ik ben opgelucht dat je in veiligheid bent .']
['i m expecting a letter from her .', 'ik verwacht een brief van haar .']
['i m experiencing some heartburn .', 'ik heb een beetje last van maagzuur .']
['i m going to attend the meeting .', 'ik ga naar de vergadering .']
['i m going to climb mt . kitadake .', 'ik ga de berg kitadake beklimmen .']
['i m going to go call the police .', 'ik ga de politie bellen .']
['i m leaving town for a few days .', 'ik vertrek voor een aantal dagen .']
['i m looking for my mobile phone .', 'ik zoek mijn gsm .']
['i m looking forward to tomorrow .', 'ik kijk uit naar morgen .']
['i m no longer afraid of spiders .', 'ik ben niet langer bang voor spinnen .']
['i m not a doctor but a teacher .', 'ik ben geen dokter maar leraar .']
['i m not a doctor but a teacher .', 'ik ben geen dokter maar een leraar .']
['i m really going to miss boston .', 'ik ga boston heel erg missen .']
['i m satisfied with his progress .', 'ik ben tevreden over zijn vooruitgang .']
['i m thinking of changing majors .', 'ik denk eraan om van major te veranderen .']
['i m tired of all his complaints .', 'ik ben al zijn klachten moe .']
['i m turning thirty this october .', 'ik word dit jaar in oktober .']
['i m very grateful for your help .', 'ik ben erg dankbaar voor je hulp .']
['i m very grateful for your help .', 'ik ben erg dankbaar voor uw hulp .']
['she is expecting a baby in june .', 'ze verwacht een kind in juni .']
['she is good at speaking english .', 'ze spreekt goed engels .']
['she is two years older than you .', 'ze is twee jaar ouder dan jij .']
['she sang to her heart s content .', 'ze zong naar hartenlust .']
['she says that she likes flowers .', 'ze zegt dat ze van bloemen houdt .']
['she s absent because she s sick .', 'ze is er niet omdat ze ziek is .']
['she s not admitting her mistake .', 'ze geeft haar fout niet toe .']
['she s six years older than i am .', 'ze is zes jaar ouder dan ik .']
['they are discussing the problem .', 'ze bespreken het probleem .']
['they are struggling for freedom .', 'ze vechten voor vrijheid .']
['you are twice as strong as i am .', 'je bent twee keer zo sterk als ik .']
['he is definitely not a gentleman .', 'hij is zeker weten geen heer .']
['he is fond of this kind of music .', 'hij houdt van dit soort muziek .']
['he is in the hospital at present .', 'hij is momenteel in het ziekenhuis .']
['he is taken care of by his uncle .', 'zijn oom zorgt voor hem .']
['he is thinking about the problem .', 'hij denkt na over het probleem .']
['he s english but lives in india .', 'hij is engelsman maar woont in india .']
['he s a professional photographer .', 'hij is beroepsfotograaf .']
['he s being accused of kidnapping .', 'hij wordt beschuldigd van ontvoering .']
['he s studying history at college .', 'hij studeert geschiedenis aan de universiteit .']
['he s studying history in college .', 'hij studeert geschiedenis aan de universiteit .']
['he s three years older than i am .', 'hij is drie jaar ouder dan ik .']
['i am eating lunch with my sister .', 'ik ben aan het lunchen met mijn zus .']
['i am married and i have two sons .', 'ik ben gehuwd en heb twee zonen .']
['i am not a doctor but a teacher .', 'ik ben geen dokter maar leraar .']
['i am not a doctor but a teacher .', 'ik ben geen dokter maar een leraar .']
['i m afraid it will rain tomorrow .', 'ik ben bang dat het morgen gaat regenen .']
['i m afraid that you re in danger .', 'ik ben bang dat je in gevaar bent .']
['i m going to have a heart attack .', 'ik krijg een hartaanval .']
['i m going to watch a scary movie .', 'ik ga naar een griezelfilm kijken .']
['i m looking for the hilton hotel .', 'ik ben opzoek naar het hilton hotel .']
['i m not able to fix the computer .', 'ik kan de computer niet repareren .']
['i m not able to fix the computer .', 'ik kan de computer niet herstellen .']
['i m not interested in modern art .', 'ik interesseer me niet voor moderne kunst .']
['i m not sure what size she wears .', 'ik weet niet zeker welke maat ze heeft .']
['i m sick and tired of hamburgers .', 'ik ben hamburgers helemaal zat .']
['i m thinking of switching majors .', 'ik denk eraan om van major te veranderen .']
['i m waiting for her to come here .', 'ik wacht op dat ze hier zal komen .']
['i m waiting for you to apologize .', 'ik wacht op je excuses .']
['i m willing to accept your offer .', 'ik ben bereid jullie offerte te aanvaarden .']
['i m willing to accept your offer .', 'ik ben bereid uw offerte te aanvaarden .']
['she is going to france next week .', 'zij gaat volgende week naar frankrijk .']
['she is saving money to go abroad .', 'ze spaart om naar het buitenland te trekken .']
['she s an excellent brain surgeon .', 'ze is een heel goede hersenchirurg .']
['she s asking how that s possible .', 'ze vraagt hoe dat kan .']
['she s five years younger than me .', 'ze is vijf jaar jonger dan ik .']
['she s pleased with her new dress .', 'ze is blij met haar nieuwe jurk .']
['she s two years younger than him .', 'ze is twee jaar jonger dan hij .']
['they are proud of their daughter .', 'ze zijn fier over hun dochter .']
['they re barely paid minimum wage .', 'ze krijgen maar net het minimumloon betaald .']
['you aren t allowed to park there .', 'je mag daar niet parkeren .']
['you re free to say what you want .', 'je mag zeggen wat je wil .']
['you re in better shape than i am .', 'je bent in een betere conditie dan ik .']
['you re supposed to be downstairs .', 'jij hoort beneden te zijn .']
['you re supposed to be practicing .', 'je hoort nu te oefenen .']
['he is well spoken of by everybody .', 'iedereen spreekt goed over hem .']
['he s very fond of science fiction .', 'hij is gek op sciencefiction .']
['i am glad to hear of your success .', 'ik ben blij over je succes te horen .']
['i am reading a book about animals .', 'ik lees een boek over dieren .']
['i m assuming tom knows about this .', 'ik neem aan dat tom hiervan weet .']
['i m going to need some volunteers .', 'ik zal een paar vrijwilligers nodig hebben .']
['i m going to report you to police .', 'ik ga jou aangeven bij de politie .']
['i m just telling you what i heard .', 'ik vertel je alleen wat ik hoorde .']
['i m only telling you what i heard .', 'ik vertel je alleen wat ik hoorde .']
['i m sorry but i don t understand .', 'het spijt me maar ik begrijp het niet .']
['i m still waiting for your answer .', 'ik wacht nog steeds op je antwoord .']
['i m suffering from a bad headache .', 'ik heb verschrikkelijke hoofdpijn .']
['i m taking tomorrow afternoon off .', 'ik neem morgenmiddag vrij .']
['i m thinking about something else .', 'ik ben over iets anders aan het nadenken .']
['i m warning you for the last time .', 'ik waarschuw je voor de laatste keer .']
['she is as beautiful as snow white .', 'ze is zo mooi als sneeuwwitje .']
['she is as beautiful as her mother .', 'ze is net zo mooi als haar moeder .']
['she is buying a toy for her child .', 'ze koopt een stuk speelgoed voor haar kind .']
['she is concerned about her health .', 'ze is bezorgd om haar gezondheid .']
['she is traveling around the world .', 'ze reist om de wereld .']
['she sews with a needle and thread .', 'ze naait met naald en draad .']
['she stayed there for several days .', 'ze verbleef er voor een paar dagen .']
['she studied japanese after dinner .', 'na het eten studeerde ze japans .']
['she s a woman of strong character .', 'zij is een vrouw met een sterke persoonlijkheid .']
['she s putting the children to bed .', 'ze stopt de kinderen in bed .']
['they are not enemies but friends .', 'zij zijn geen vijanden maar vrienden .']
['they re attempting to contact her .', 'ze proberen haar te contacteren .']
['we are leaving narita next monday .', 'we vliegen maandag vanop narita .']
['we are out of cheese and crackers .', 'we hebben geen kaas en crackers meer .']
['we re going to stay at home today .', 'we gaan vandaag thuisblijven .']
['we re going to the movies tonight .', 'we gaan vanavond naar de film .']
['we re not really asking for money .', 'we vragen niet echt geld .']
['you are too young to travel alone .', 'je bent te jong om alleen te reizen .']
['you are too young to travel alone .', 'jullie zijn te jong om alleen te reizen .']
['he is not interested in art at all .', 'hij heeft helemaal geen interesse in kunst .']
['he is not interested in art at all .', 'hij interesseert zich helemaal niet voor kunst .']
['he is sometimes absent from school .', 'soms is hij van school afwezig .']
['he is the father of three children .', 'hij is de vader van drie kinderen .']
['he s considering becoming a sailor .', 'hij denkt eraan zeeman te worden .']
['he s three years older than she is .', 'hij is drie jaar ouder dan zij is .']
['i am a member of the baseball team .', 'ik ben lid van een honkbalteam .']
['i am asking questions to my father .', 'ik stel mijn vader vragen .']
['i am convinced that he is innocent .', 'ik ben ervan overtuigd dat hij onschuldig is .']
['i am married and have two children .', 'ik ben getrouwd en heb twee kinderen .']
['i am studying the persian language .', 'ik leer perzisch .']
['i m doing this with or without you .', 'ik doe dit met of zonder jou .']
['i m probably hungrier than you are .', 'ik heb waarschijnlijk meer honger dan jij .']
['i m trying to find my balance back .', 'ik probeer mijn evenwicht terug te vinden .']
['i m waiting for his telephone call .', 'ik wacht op zijn telefoontje .']
['she is able to speak ten languages .', 'zij kan tien talen spreken .']
['she is wearing a white dress today .', 'ze heeft vandaag een witte jurk aan .']
['she s about the same height as you .', 'ze is ongeveer even groot als jij .']
['she s not prettier than her mother .', 'zij is niet mooier dan haar moeder .']
['they are aware of the difficulties .', 'de moeilijkheden zijn hun bekend .']
['we are accustomed to wearing shoes .', 'we zijn het gewend om schoenen te dragen .']
['we are in the era of atomic energy .', 'we zijn in het tijdperk van de atoomenergie .']
['we re grateful for your assistance .', 'we zijn dankbaar voor je hulp .']
['we re having a party next saturday .', 'we hebben een feest volgende zaterdag .']
['you are too sensitive to criticism .', 'u bent te gevoelig voor kritiek .']
['you are too sensitive to criticism .', 'je bent te gevoelig voor kritiek .']
['you re going to need your umbrella .', 'je gaat je paraplu nodig hebben .']
['he is looking forward to seeing you .', 'hij verheugt er zich op u te zien .']
['i am staying with my uncle in tokyo .', 'ik verblijf bij mijn oom in tokio .']
['i m beginning to miss my girlfriend .', 'ik begin mijn vriendin te missen .']
['i m disappointed that he s not here .', 'ik ben ontgoocheld dat hij hier niet is .']
['i m getting more and more gray hair .', 'ik heb steeds meer grijze haren .']
['i m getting more and more gray hair .', 'mijn haar wordt steeds grijzer .']
['i m getting off at the next station .', 'ik stap uit op het volgende station .']
['i m getting off at the next station .', 'op de volgende halte stap ik uit .']
['i m getting off at the next station .', 'ik stap uit in het volgende station .']
['i m going to get something to drink .', 'ik ga iets te drinken halen .']
['i m living in kunming at the moment .', 'ik woon momenteel in kunming .']
['i m not chasing them away from here .', 'ik jaag ze hier niet weg .']
['i m not expecting special treatment .', 'ik verwacht geen speciale behandeling .']
['i m still trying to figure that out .', 'dat probeer ik nog uit te vinden .']
['i m trying to work out this problem .', 'ik probeer dat probleem op te lossen .']
['she said that i should quit smoking .', 'ze zei dat ik moest ophouden met roken .']
['she sells seashells by the seashore .', 'zij verkoopt zeeschelpen aan de kust .']
['she stopped sewing and had some tea .', 'ze stopte met naaien en dronk wat thee .']
['they re painting the fence tomorrow .', 'ze verven het hek morgen .']
['we are going to check it right away .', 'dat zullen we onmiddellijk controleren .']
['we re having a problem with pigeons .', 'we hebben een duivenprobleem .']
['we re having difficulty finding tom .', 'we hebben het moeilijk om tom te vinden .']
['you re comparing apples and oranges !', 'je vergelijkt appelen met peren !']
['you re from the embassy aren t you ?', 'je bent van de ambassade toch ?']
['you re the one who picked the fight .', 'jij bent degene die het gevecht begon .']
['he is something of a stamp collector .', 'hij is nogal een postzegelverzamelaar .']
['he s shivering because of the cold .', 'hij rilt door de kou .']
['i am a member of the basketball team .', 'ik ben lid van het basketbalteam .']
['i am forbidden to use this telephone .', 'het is mij verboden deze telefoon te gebruiken .']
['i am getting off at the next station .', 'ik stap uit op het volgende station .']
['i am getting off at the next station .', 'op de volgende halte stap ik uit .']
['i am getting off at the next station .', 'ik stap uit in het volgende station .']
['i am the first musician in my family .', 'ik ben de eerste musicus in mijn familie .']
['i m not very good at keeping secrets .', 'ik ben niet goed in geheimen bewaren .']
['i m pretty sure tom can speak french .', 'ik weet bijna zeker dat tom frans kent .']
['i m really not interested in history .', 'ik interesseer me echt niet voor geschiedenis .']
['she is getting prettier and prettier .', 'ze wordt steeds mooier .']
['they are satisfied with the contract .', 'ze zijn tevreden met het contract .']
['we are able to deliver within a week .', 'we kunnen leveren binnen een week .']
['we are influenced by our environment .', 'we worden beinvloed door onze omgeving .']
['we re staying there for three months .', 'we zijn daar drie maanden gebleven .']
['you are tall but he is still taller .', 'je bent lang maar hij is nog langer .']
['he is a professor of english at leeds .', 'hij is professor engels in leeds .']
['he is working in the field of biology .', 'hij werkt op het gebied van biologie .']
['he s young but he s very intelligent .', 'hij is jong maar wel heel intelligent .']
['i am going to write a letter tomorrow .', 'ik zal morgen een brief schrijven .']
['i am going to write a letter tomorrow .', 'ik ga morgen een brief schrijven .']
['i m listening to bjork s latest song .', 'ik luister naar het nieuwste liedje van bjork .']
['i m unable to translate this sentence .', 'ik kan deze zin niet vertalen .']
['i m waiting for a very important call .', 'ik wacht op een zeer belangrijk telefoontje .']
['she is always losing her handkerchief .', 'ze verliest altijd opnieuw haar zakdoek .']
['she suffers from a contagious disease .', 'ze lijdt aan een besmettelijke ziekte .']
['they are satisfied with a simple life .', 'zij zijn tevreden met een eenvoudig leven .']
['they are very interested in astronomy .', 'zijn zijn erg geinteresseerd in astronomie .']
['they are very interested in astronomy .', 'zij interesseren zich erg voor astronomie .']
['we are flying to los angeles tomorrow .', 'we vliegen morgen naar los angeles .']
['we are hoping for your quick recovery .', 'we hopen dat je snel beter wordt .']
['we are leaving japan tomorrow morning .', 'we verlaten japan morgen vroeg .']
['we are leaving japan tomorrow morning .', 'we vertrekken morgenochtend uit japan .']
['we re having a barbecue next saturday .', 'de volgende zaterdag houden we een barbecue .']
['you re not afraid of heights are you ?', 'je hebt toch geen hoogtevrees ?']
['he is totally dependent on his parents .', 'hij is volledig afhankelijk van zijn ouders .']
['he s always complaining about the food .', 'hij beklaagt zich altijd over het eten .']
['he s an englishman but lives in india .', 'hij is engelsman maar woont in india .']
['he s been divorced for years already .', 'hij is al twee jaar gescheiden .']
['he s financially dependent on his wife .', 'hij is financieel afhankelijk van zijn vrouw .']
['i am finnish but i speak also swedish .', 'ik ben fin maar ik spreek ook zweeds .']
['i am going to play soccer after school .', 'ik ga voetbal spelen na school .']
['i am grateful to you for your kindness .', 'ik dank u voor uw vriendelijkheid .']
['i m going to study biology and spanish .', 'ik ga biologie en spaans studeren .']
['i m looking for books on roman history .', 'ik zoek boeken over de romeinse geschiedenis .']
['i m not accustomed to getting up early .', 'ik ben niet gewoon vroeg op te staan .']
['i m sure you heard about what happened .', 'je hebt vast gehoord wat er gebeurd is .']
['she started dancing when she was eight .', 'ze begon te dansen toen ze acht was .']
['he is not as intelligent as his brother .', 'hij is niet zo slim als zijn broer .']
['he is on good terms with his classmates .', 'hij kan goed overweg met zijn klasgenoten .']
['he is what we call a walking dictionary .', 'hij is wat we noemen een lopend woordenboek .']
['he is what we call a walking dictionary .', 'hij is wat wij een wandelend woordenboek noemen .']
['i m far from happy about this situation .', 'ik ben verre van blij met deze situatie .']
['i m not able to translate this sentence .', 'ik kan deze zin niet vertalen .']
['i m sorry . i overestimated my abilities .', 'het spijt me . ik overschatte mijn vaardigheden .']
['i m sure this is all a misunderstanding .', 'dit alles is vast maar een misverstand .']
['she s leaving the country in six months .', 'binnen zes maanden verlaat ze het land .']
['he is a diplomat at the american embassy .', 'hij is een diplomaat bij de amerikaanse ambassade .']
['he is always giving presents to his wife .', 'hij geeft altijd geschenken aan zijn vrouw .']
['he is studying history at the university .', 'hij studeert geschiedenis aan de universiteit .']
['i m very happy to make your acquaintance .', 'prettig met u kennis te maken .']
['i m wearing my swimsuit under my clothes .', 'ik draag mijn badpak onder mijn kleren .']
['she is the youngest of my three children .', 'ze is de jongste van mijn drie kinderen .']
['she spoke as though nothing had happened .', 'ze sprak alsof er niets gebeurd was .']
['they are going to investigate the affair .', 'zij gaan de zaak onderzoeken .']
['he is always here between and o clock .', 'hij is hier altijd tussen vijf en zes .']
['i m about to tell you something important .', 'ik ga je iets belangrijks vertellen .']
['i m going to study english this afternoon .', 'ik ga vanmiddag engels oefenen .']
['they re definitely more than just friends .', 'ze zijn ongetwijfeld meer dan alleen vrienden .']
['he is absorbed in reading detective novels .', 'hij gaat op in het lezen van detectives .']
['i m looking forward to the summer vacation .', 'ik kijk uit naar de zomervakantie .']
['they re on good terms with their neighbors .', 'ze hebben een goede verhouding met hun buren .']
['you re not likely to notice the difference .', 'je zal het verschil waarschijnlijk niet merken .']
['he is on speaking terms with his classmates .', 'hij staat op goede voet met zijn klasgenoten .']
['he is on speaking terms with his classmates .', 'hij staat op goede voet met zijn klasgenootjes .']
['i m visiting my grandmother in the hospital .', 'ik bezoek mijn grootmoeder in het ziekenhuis .']
['she slowly disappeared into the foggy forest .', 'ze verdween langzaam in het nevelige bos .']
['they are going to play baseball after school .', 'zij gaan na school honkbal spelen .']
['we are thinking of buying some new furniture .', 'we overwegen nieuwe meubels te kopen .']
['they are buying vegetables in the supermarket .', 'ze kopen groenten in de supermarkt .']
['he is very much interested in japanese history .', 'hij is erg geinteresseerd in japanse geschiedenis .']
['he is one of the american presidential candidates .', 'hij is een van de amerikaanse presidentskandidaten .']
